"","chla","fluor","cond","rad","pH","temp"
"91",0.0271389166374506,2.00978107496149,72,16.8255757702374,7.414,23.37
"92",0.0506694140476448,2.05779029414785,72,15.7797338380595,7.414,23.37
"93",0.0532500606411365,2.0385083645984,72,14.8828760661372,7.415,23.38
"94",0.0761810017050534,2.09927873321127,72,9.79795897113271,7.412,23.37
"95",-0.0356374895067213,2.04731899428056,72,13.3790881602597,7.428,23.35
"96",0.40216299924438,2.04977212324864,72,11.4280357017293,7.413,23.34
"97",-0.0272222925814367,2.00356873998122,72,10.2761860629321,7.403,23.34
"98",-0.0272222925814367,1.942737901889,72,9.04433524367601,7.398,23.33
"99",0.0635065608083255,2.00063188030791,72,7.8064076245095,7.381,23.31
"100",0.0786967263023007,1.99694863489161,72,6.54599113962126,7.375,23.29
"101",-0.164752091172655,2.01414313204166,72,5.00999001995014,7.399,23.28
"102",-0.016111067156366,2.07431959609907,72,4.33012701892219,7.409,23.23
"103",0.139616900064141,1.99989631572895,72,3.02489669245083,7.407,23.21
"104",0.127726153542619,1.98020405761781,72,2.05158475330657,7.408,23.21
"105",0.0244899084658737,1.98768072796083,72,1.09818031306339,7.403,23.18
"106",0.249223706603418,2.12492959698548,70,0.719722168617863,7.282,21.79
"107",0.286650112122535,2.07397800770975,70,1.90656759649376,7.302,21.73
"108",0.310844840709592,2.07055569088558,69.18,2.85832118559129,7.32,21.65
"109",0.340287595526292,2.08349865085806,69,4.66476151587624,7.343,21.6
"110",0.205926900850094,2.08451336428861,69,6.39921870231046,7.356,21.58
"111",0.103511895422025,2.01414313204166,69,7.78588466392869,7.35,21.56
"112",0.201492303782228,2.02137120832466,69,8.51762877801093,7.351,21.56
"113",0.139616900064141,2.07908962217925,69,10.5924501414923,7.342,21.57
"114",0.23857397868676,2.062294025994,69,12.0083304418225,7.339,21.55
"115",0.208136846500897,2.09861228866811,69,13.1415372007996,7.33,21.51
"116",0.259761211906204,2.11350090116186,69,14.0854534893272,7.337,21.46
"117",0.139616900064141,2.14993891583345,69,15.3264477293338,7.334,21.43
"118",0.261855453509319,2.12069988513211,69,16.4590400692142,7.341,21.4
"119",0.201492303782228,2.06298511102496,69,17.4068951855292,7.355,21.37
"120",0.185814491062999,2.10127540608759,68.9,18.305736805712,7.343,21.34
"121",0.24071301693551,2.10027756798717,68.18,19.1285127492965,7.345,21.3
"122",0.156029929705471,2.13043390099107,68,19.9824923370434,7.346,21.25
"123",0.270188835068463,2.12817109090965,68,20.8925824157762,7.346,21.22
"124",0.292753895060553,2.03921607871145,68,21.72786229706,7.343,21.17
"125",0.113268070367389,2.11415750000357,68,22.463303408003,7.355,21.16
"126",0.330569346057371,2.0462658082959,68,23.1538333759229,7.353,21.17
"127",0.208136846500897,2.08010881710355,68,23.7886527571445,7.357,21.2
"128",0.378242815526728,1.98656278485949,68,24.5112219197656,7.343,21.23
"129",0.330569346057371,2.01160091167848,68.02,25.1555162936482,7.358,21.24
"130",0.197037953432848,2.02137120832466,68.6,25.7507281450448,7.366,21.25
"131",0.244977415721967,2.07908962217925,68.5,26.3799166033557,7.367,21.26
"132",0.261855453509319,2.03921607871145,69,26.8812202103997,7.378,21.29
"133",0.332520566188632,2.0385083645984,69,27.3916045532203,7.366,21.3
"134",0.361341004724124,2.13204706475435,69,27.872925931807,7.364,21.26
"135",0.572289282944516,2.03389597394842,69,28.3725219182222,7.342,21.2
"136",0.549014376590026,2.09091608203364,69,28.8097205817759,7.324,21.18
"137",0.398520007965879,2.23692390446562,69,29.2403830344269,7.327,21.18
"138",0.336411621681599,2.05431202977153,69,29.6310647800581,7.341,21.21
"139",0.485835474968495,2.15373158788919,69,29.9666481275434,7.341,21.27
"140",0.387510722457509,2.08687703244969,69,30.3150127824482,7.339,21.29
"141",0.0761810017050534,2.1808065262941,69,30.6104557300279,7.355,21.33
"142",0.115692313978896,2.03956974803433,69,30.8382878902185,7.364,21.37
"143",0.14433388994228,2.11021142451146,69.22,31.0644491340181,7.367,21.47
"144",0.167590752106547,1.98394938034797,70,31.3687742827162,7.349,21.66
"145",0.083709268125845,2.02604159583327,70,31.559467676119,7.366,21.69
"146",0.24071301693551,1.99436226729431,70,31.7332633052449,7.4,21.73
"147",0.0506694140476448,2.01450577937111,69.18,31.859064644148,7.433,21.75
"148",0.0057477266561331,1.99325177301028,69,32.0156211871642,7.429,21.75
"149",0.113268070367389,2.00173421369162,69,32.124756808418,7.448,21.77
"150",0.0506694140476448,2.07261048612911,69,32.218007387174,7.449,21.78
"151",0.0376653296244381,2.02496574849981,69.52,32.2490309931942,7.444,21.8
"152",-0.0729445419195318,2.00868758114012,70,32.2335229225724,7.444,21.82
"153",0.0324159737382944,2.01341744260488,70,32.2024843762092,7.453,21.85
"154",0.15136791659966,2.0159550549871,70,32.2024843762092,7.447,21.89
"155",0.0057477266561331,2.05535677999715,70,32.1869538788622,7.437,21.88
"156",0.0057477266561331,1.99325177301028,70,32.0936130717624,7.44,21.88
"157",0.0583914601415551,2.02675818490013,70,31.9530906173409,7.462,21.91
"158",0.137250035053875,2.03921607871145,70,31.8276609256791,7.435,21.89
"159",0.101057906460458,2.01812503775542,70,31.6385840391128,7.456,21.89
"160",0.0711304859189849,2.02711628696304,70,31.4801524773944,7.452,21.91
"161",-0.0216512475319814,1.98320143715678,70,31.2569992161756,7.46,21.94
"162",0.083709268125845,2.01160091167848,70,31.0161248385416,7.452,21.97
"163",0.149028734246487,2.065400154462,70,30.8058436014987,7.428,21.96
"164",0.0660543328871243,2.09694423156741,70,30.5286750449475,7.424,21.96
